tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
827,6/7/2017 17:50:57,6/7/2017 18:04:44,3368,5 Ave & 3 St,40.6728155,-73.98352355,3315,Henry St & Degraw St,40.6847514,-73.99917254,19408,Subscriber,1949,male,
349,10/2/2014 18:22:12,10/2/2014 18:28:01,345,W 13 St & 6 Ave,40.73649403,-73.99704374,466,W 25 St & 6 Ave,40.74395411,-73.99144871,14585,Subscriber,1951,male,
1319,7/10/2017 18:47:03,7/10/2017 19:09:02,492,W 33 St & 7 Ave,40.75019995,-73.99093085,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,16907,Subscriber,1999,female,
822,4/12/2018 12:12:40,4/12/2018 12:26:23,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,3284,E 88 St & Park Ave,40.7814107,-73.95595908,31516,Subscriber,1947,male,
445,12/31/2015 17:17:23,12/31/2015 17:24:48,483,E 12 St & 3 Ave,40.73223272,-73.98889957,433,E 13 St & Avenue A,40.72955361,-73.98057249,19567,Subscriber,1949,male,
609,7/24/2015 8:01:59,7/24/2015 8:12:08,497,E 17 St & Broadway,40.73704984,-73.99009296,512,W 29 St & 9 Ave,40.7500727,-73.99839279,22919,Subscriber,1950,male,
459,8/20/2014 18:53:21,8/20/2014 19:01:00,492,W 33 St & 7 Ave,40.75019995,-73.99093085,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,18594,Subscriber,1952,male,
413,11/1/2014 11:39:55,11/1/2014 11:46:48,377,6 Ave & Canal St,40.72243797,-74.00566443,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,20506,Subscriber,1942,male,
214,11/5/2015 13:27:11,11/5/2015 13:30:46,3158,W 63 St & Broadway,40.77163851,-73.98261428,457,Broadway & W 58 St,40.76695317,-73.98169333,17396,Subscriber,1942,male,
978,10/7/2015 14:25:20,10/7/2015 14:41:38,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,3156,E 72 St & York Ave,40.76663814,-73.95348296,23133,Subscriber,1997,male,
657,9/19/2017 19:19:51,9/19/2017 19:30:49,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,504,1 Ave & E 16 St,40.73221853,-73.98165557,17271,Subscriber,1997,female,
277,7/21/2017 13:46:08,7/21/2017 13:50:45,483,E 12 St & 3 Ave,40.73223272,-73.98889957,335,Washington Pl & Broadway,40.72903917,-73.99404649,28136,Subscriber,2000,female,
953,12/9/2017 5:28:13,12/9/2017 5:44:06,128,MacDougal St & Prince St,40.72710258,-74.00297088,533,Broadway & W 38 St,40.75299641,-73.98721619,20591,Subscriber,1948,male,
876,2/19/2015 9:00:00,2/19/2015 9:15:00,2010,Grand St & Greene St,40.72165481,-74.00234737,401,Allen St & Rivington St,40.72019576,-73.98997825,15374,Subscriber,1948,male,
690,11/19/2017 8:01:43,11/19/2017 8:13:14,3151,E 81 St & York Ave,40.7728384,-73.94989233,3378,E 76 St & Park Ave,40.773763,-73.96222088,32098,Subscriber,1947,male,
1573,7/21/2014 20:44:51,7/21/2014 21:11:04,355,Bayard St & Baxter St,40.71602118,-73.99974372,462,W 22 St & 10 Ave,40.74691959,-74.00451887,16996,Subscriber,1950,male,
610,8/11/2017 16:06:22,8/11/2017 16:16:32,3435,Grand St & Elizabeth St,40.718822,-73.99596,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,16391,Customer,1999,male,
1019,6/19/2015 9:01:00,6/19/2015 9:18:00,478,11 Ave & W 41 St,40.76030096,-73.99884222,454,E 51 St & 1 Ave,40.75455731,-73.96592976,18192,Subscriber,1952,male,
381,11/18/2013 6:59:33,11/18/2013 7:05:54,469,Broadway & W 53 St,40.76344058,-73.98268129,137,E 56 St & Madison Ave,40.761628,-73.972924,17526,Subscriber,1951,male,
549,8/6/2015 15:25:20,8/6/2015 15:34:29,546,E 30 St & Park Ave S,40.74444921,-73.98303529,494,W 26 St & 8 Ave,40.74734825,-73.99723551,15566,Subscriber,1997,female,
726,4/20/2018 16:22:50,4/20/2018 16:34:57,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,448,W 37 St & 10 Ave,40.75660359,-73.9979009,27999,Subscriber,1999,male,
1987,5/17/2017 13:28:59,5/17/2017 14:02:06,466,W 25 St & 6 Ave,40.74395411,-73.99144871,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,21243,Subscriber,1944,male,
271,3/21/2016 15:37:22,3/21/2016 15:41:54,463,9 Ave & W 16 St,40.74206539,-74.00443172,247,Perry St & Bleecker St,40.73535398,-74.00483091,22404,Subscriber,1941,male,
588,12/6/2017 22:19:30,12/6/2017 22:29:18,490,8 Ave & W 33 St,40.751551,-73.993934,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,30510,Subscriber,1998,female,
743,10/19/2015 11:00:21,10/19/2015 11:12:44,379,W 31 St & 7 Ave,40.749156,-73.9916,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,23362,Subscriber,1996,male,
684,6/19/2014 22:43:33,6/19/2014 22:54:57,410,Suffolk St & Stanton St,40.72066442,-73.98517977,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,15831,Subscriber,1997,male,
248,6/28/2017 22:56:17,6/28/2017 23:00:26,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,27122,Subscriber,1998,male,
1365,6/18/2015 10:21:00,6/18/2015 10:44:00,434,9 Ave & W 18 St,40.74317449,-74.00366443,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,15335,Subscriber,1951,male,
343,10/26/2017 15:50:16,10/26/2017 15:55:59,2008,Little West St & 1 Pl,40.70569254,-74.01677685,415,Pearl St & Hanover Square,40.7047177,-74.00926027,18850,Subscriber,1999,male,
695,5/18/2016 13:59:11,5/18/2016 14:10:46,494,W 26 St & 8 Ave,40.74734825,-73.99723551,483,E 12 St & 3 Ave,40.73223272,-73.98889957,15155,Subscriber,1946,male,
158,9/1/2016 12:28:34,9/1/2016 12:31:13,485,W 37 St & 5 Ave,40.75038009,-73.98338988,526,E 33 St & 5 Ave,40.74765947,-73.98490707,21125,Subscriber,1948,male,
1622,5/10/2016 13:08:33,5/10/2016 13:35:36,319,Fulton St & Broadway,40.711066,-74.009447,527,E 33 St & 2 Ave,40.744023,-73.976056,17282,Subscriber,1996,male,
245,12/2/2017 22:47:51,12/2/2017 22:51:56,3162,W 78 St & Broadway,40.78339981,-73.98093133,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,25133,Subscriber,1999,male,
309,9/27/2017 18:53:10,9/27/2017 18:58:19,3435,Grand St & Elizabeth St,40.718822,-73.99596,401,Allen St & Rivington St,40.72019576,-73.98997825,14961,Subscriber,1996,female,
1232,8/30/2015 18:06:41,8/30/2015 18:27:13,306,Cliff St & Fulton St,40.70823502,-74.00530063,430,York St & Jay St,40.7014851,-73.98656928,24352,Subscriber,1997,female,
213,6/15/2017 11:05:54,6/15/2017 11:09:27,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,341,Stanton St & Mangin St,40.71782143,-73.97628939,25157,Subscriber,1950,female,
170,4/14/2016 13:32:29,4/14/2016 13:35:19,306,Cliff St & Fulton St,40.70823502,-74.00530063,337,Old Slip & Front St,40.7037992,-74.00838676,17100,Subscriber,1944,male,
485,9/21/2015 9:51:09,9/21/2015 9:59:14,303,Mercer St & Spring St,40.72362738,-73.99949601,254,W 11 St & 6 Ave,40.73532427,-73.99800419,15589,Subscriber,1996,male,
1078,3/10/2015 8:40:00,3/10/2015 8:58:00,293,Lafayette St & E 8 St,40.73028666,-73.9907647,484,W 44 St & 5 Ave,40.75500254,-73.98014437,20191,Subscriber,1941,male,
