station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
349,Rivington St & Ridge St,5406.02,40.71850211,-73.98329859,71,"KEY,CREDITCARD",61,FALSE,14,1,46,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
470,W 20 St & 8 Ave,6224.05,40.74345335,-74.00004031,71,"KEY,CREDITCARD",72,FALSE,26,0,46,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3177,W 84 St & Broadway,7409.08,40.7867947,-73.977112,71,"KEY,CREDITCARD",63,FALSE,12,1,50,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
519,Pershing Square North,6432.09,40.751873,-73.977706,71,"KEY,CREDITCARD",69,TRUE,15,1,53,0,TRUE,TRUE,TRUE,TRUE,4/15/2020 0:00:00
517,Pershing Square South,6432.08,40.751581,-73.97791,71,"KEY,CREDITCARD",69,FALSE,9,2,58,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
422,W 59 St & 10 Ave,7023.04,40.770513,-73.988038,71,"KEY,CREDITCARD",78,FALSE,18,1,59,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3270,Jersey & 6th St,JC027,40.72528911,-74.04557168,70,"KEY,CREDITCARD",14,FALSE,14,0,0,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3277,Communipaw & Berry Lane,JC084,40.71435837,-74.06661093,70,"KEY,CREDITCARD",14,FALSE,14,0,0,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3267,Morris Canal,JC072,40.71241882,-74.03852552,70,"KEY,CREDITCARD",14,FALSE,12,0,2,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3280,Astor Place,JC077,40.7192822,-74.07126188,70,"KEY,CREDITCARD",14,FALSE,10,0,4,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3483,Montgomery St,JC099,40.71942,-74.05099,70,"KEY,CREDITCARD",14,FALSE,10,0,4,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3184,Paulus Hook,JC002,40.7141454,-74.0335519,70,"KEY,CREDITCARD",14,FALSE,8,1,5,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3272,Jersey & 3rd,JC074,40.72333159,-74.04595256,70,"KEY,CREDITCARD",14,FALSE,9,0,5,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3679,Bergen Ave,JC095,40.72210379,-74.071455,70,"KEY,CREDITCARD",14,FALSE,9,0,5,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3268,Lafayette Park,JC078,40.71346383,-74.06285852,70,"KEY,CREDITCARD",14,FALSE,8,0,6,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3269,Brunswick & 6th,JC081,40.72601173,-74.05038893,70,"KEY,CREDITCARD",14,FALSE,8,0,6,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3275,Columbus Drive,JC014,40.7183552,-74.03891444,70,"KEY,CREDITCARD",14,FALSE,8,0,6,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3225,Baldwin at Montgomery,JC020,40.7236589,-74.0641943,70,"KEY,CREDITCARD",14,FALSE,7,0,7,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3281,Leonard Gordon Park,JC080,40.74590997,-74.05727148,70,"KEY,CREDITCARD",14,FALSE,6,0,8,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3199,Newport Pkwy,JC008,40.7287448,-74.0321082,70,"KEY,CREDITCARD",14,FALSE,3,0,11,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3278,Monmouth and 6th,JC075,40.72568548,-74.04879034,70,"KEY,CREDITCARD",14,FALSE,1,1,12,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3612,30 Ave & 21 St,6996.01,40.7703743,-73.9286078,71,"KEY,CREDITCARD",15,FALSE,7,0,8,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3882,Norman St & Wyckoff Ave,4654.01,40.69517,-73.90311,71,"KEY,CREDITCARD",15,FALSE,7,0,8,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
